"Tender Number";"Status";"Estimated Value";"Title";"Department";"Location";"Category";"Description";"Published Date"
"NWKRTC/2023-24/IND0042";"PUBLISHED";"6331064";"Supply of Fasteners";"North Western Karnataka Road Transport Corporation";"North Western Karnataka Road Transport Corporation Head Office";"GOODS";"Supply of Fasteners";"2024-02-13 00:40:43"
"BDA/2023-24/RD/WORK_INDENT15";"PUBLISHED";"70000000";"IMPROVEMENTS AND ASPHALTING OF INTERNAL ROADS IN 5,6& 17TH BLOCK K NARAYANAPURA VILLAGE OF ARKAVATHI LAYOUT BANGALORE";"Bengaluru Development Authority";"BDA North Division";"WORKS";"IMPROVEMENTS AND ASPHALTING OF INTERNAL ROADS IN 5,6& 17TH BLOCK K NARAYANAPURA VILLAGE OF ARKAVATHI LAYOUT BANGALORE";"2024-02-13 00:13:29"
"BDA/2023-24/RD/WORK_INDENT22";"PUBLISHED";"42500000";"Improvements & Asphalting of internal roads in 3rd and 8th block Venkateshpura village of Arkavathy Layout Bangalore";"Bengaluru Development Authority";"BDA North Division";"WORKS";"Asphalting of internal roads in layout";"2024-02-13 00:13:06"
"RDPR/2023-24/SE0713";"PUBLISHED";"900000";"TPH/Accounts/CR-34/2023-24";"Rural Development and Panchayat Raj Department";"RDPR Taluka Panchayat Office Hiriyur";"SERVICES";"EO and AD Vehicle Tender";"2024-02-12 23:52:57"
"BDA/2023-24/RD/WORK_INDENT23";"PUBLISHED";"160000000";"Improvements & Asphalting of internal roads in 1, 2, 7 and 8th block Jakkur village of Arkavathy Layout Bangalore";"Bengaluru Development Authority";"BDA North Division";"WORKS";"Asphalting of Internal Roads in Layout";"2024-02-12 23:18:17"
"KFD/2023-24/OW/WORK_INDENT6559";"PUBLISHED";"1363250";"Advance work ANR Model-2 Bilisiri Sy No.75 25.00 Ha in Sagar Range";"Karnataka Forest Department";"KFD DCF Territorial Division Office Sagara";"WORKS";"Advance work ANR Model-2 Bilisiri Sy No.75 25.00 Ha in Sagar Range";"2024-02-12 23:16:34"
"KFD/2023-24/OW/WORK_INDENT6591";"PUBLISHED";"2726500";"Advance work ANR Model-2 Gowthampura sy no.342 25.00 Ha and Telginamane 25.00 Ha Total 50.00 Ha Choradi Range";"Karnataka Forest Department";"KFD DCF Territorial Division Office Sagara";"WORKS";"Advance work ANR Model-2 Gowthampura sy no.342 25.00 Ha and Telginamane 25.00 Ha Total 50.00 Ha Choradi Range";"2024-02-12 23:15:51"
"KFD/2023-24/OW/WORK_INDENT6593";"PUBLISHED";"1363250";"Advance work ANR Model-02 Talagadde Sy.No.1 Anavatti Range";"Karnataka Forest Department";"KFD DCF Territorial Division Office Sagara";"WORKS";"Advance work ANR Model-02 Talagadde Sy.No.1 Anavatti Range";"2024-02-12 23:15:12"
"KFD/2023-24/OW/WORK_INDENT6594";"PUBLISHED";"1363250";"Advance work ANR Model-02 Basavanandihalli Sy.No.46 25.00 Ha. Shiralakoppa Range";"Karnataka Forest Department";"KFD DCF Territorial Division Office Sagara";"WORKS";"Advance work ANR Model-02 Basavanandihalli Sy.No.46 25.00 Ha. Shiralakoppa Range";"2024-02-12 23:14:44"
"KFD/2023-24/OW/WORK_INDENT6609";"PUBLISHED";"1363250";"Advance work AR Model in Saluru Sy No.829 25.00 Ha Ambligola Range";"Karnataka Forest Department";"KFD DCF Territorial Division Office Sagara";"WORKS";"Advance work AR Model in Saluru Sy.No.829 25.00 Ha Ambligola Range";"2024-02-12 23:14:16"
"KFD/2023-24/OW/WORK_INDENT6614";"PUBLISHED";"1363250";"Advance work AR Model in Halanduru Sy.No.49 25.00 Ha. Hosanagara Range";"Karnataka Forest Department";"KFD DCF Territorial Division Office Sagara";"WORKS";"Advance work AR Model in Halanduru Sy.No.49 25.00 Ha. Hosanagara Range";"2024-02-12 23:13:34"
"KFD/2023-24/OW/WORK_INDENT6620";"PUBLISHED";"1363250";"Advance work AR Model in Hilkunji Sy.No.4 25.00 Ha. Nagar Range";"Karnataka Forest Department";"KFD DCF Territorial Division Office Sagara";"WORKS";"Advance work AR Model in Hilkunji Sy.No.4 25.00 Ha. Nagar Range";"2024-02-12 23:12:46"
"BDA/2023-24/RD/WORK_INDENT24";"PUBLISHED";"81000000";"Improvements & Asphalting of internal roads in 18th block Byrathikhane village of Arkavathy Layout Bangalore";"Bengaluru Development Authority";"BDA North Division";"WORKS";"Asphalting of Internal Roads";"2024-02-12 23:12:42"
"KFD/2023-24/OW/WORK_INDENT6621";"PUBLISHED";"1797500";"Advance work AR Model in Kaginalli Sy.No.61 25.00 Ha. Shikaripura Range";"Karnataka Forest Department";"KFD DCF Territorial Division Office Sagara";"WORKS";"Advance work AR Model in Kaginalli Sy.No.61 25.00 Ha. Shikaripura Range";"2024-02-12 23:12:12"
"BDA/2023-24/RD/WORK_INDENT16";"PUBLISHED";"40000000";"Improvements & Asphalting of internal roads in 11th block Rachenahalli village of Arkavathy Layout Bangalore";"Bengaluru Development Authority";"BDA North Division";"WORKS";"Asphalting & Improvements to Layout Roads";"2024-02-12 22:53:08"
"BSWML/2023-24/OW/WORK_INDENT30";"PUBLISHED";"15964171";"Village developmental works for creating of infrastructure in and around KCDC processing plant at Bommanahalli Constituency";"Bengaluru Solid Waste Management Limited";"BSWML Managing Director Office Bengaluru";"WORKS";"Village developmental works for creating of infrastructure in and around KCDC processing plant at Bommanahalli Constituency";"2024-02-12 22:48:56"
"AD/2023-24/OW/WORK_INDENT5";"PUBLISHED";"1874792";"RECLAIMATION OF PROBLEMATIC SOIL, VILLAGE KADAKOL, TQ JAMAKHANDI DIST BAGALKOT";"Agriculture Department";"Deputy Director of Agriculture Office JAMKANDI";"WORKS";"RECLAIMATION OF PROBLEMATIC SOIL, VILLAGE KADAKOL, TQ JAMAKHANDI DIST BAGALKOT";"2024-02-12 22:41:41"
"AD/2023-24/OW/WORK_INDENT6";"PUBLISHED";"1874792";"RECLAMATION OF PROBLEMATIC SOILS OF BILAGI, TALUK, TEGGI village, BAGALKOTE DISTRICT";"Agriculture Department";"Deputy Director of Agriculture Office JAMKANDI";"WORKS";"RECLAMATION OF PROBLEMATIC SOILS OF BILAGI, TALUK, TEGGI village, BAGALKOTE DISTRICT";"2024-02-12 22:40:05"
"RDPR/2023-24/RD/WORK_INDENT4378";"PUBLISHED";"8212938";"Improvements to approach road and Construction of CC road and drain from Shettihalli to Malavalli town 1.00 km road upto SC-ST hostel in Malavalli taluk";"Rural Development and Panchayat Raj Department";"RDPR Division Office Mandya";"WORKS";"Improvements to approach road and Construction of CC road and drain from Shettihalli to Malavalli town 1.00 km road upto SC-ST hostel in Malavalli taluk";"2024-02-12 22:38:04"
"RDPR/2023-24/RD/WORK_INDENT4379";"PUBLISHED";"5776771";"Construction of CC Road from Shettihalli to Mandya Sulthan road in Malavalli taluk (1.00km).";"Rural Development and Panchayat Raj Department";"RDPR Division Office Mandya";"WORKS";"Construction of CC Road from Shettihalli to Mandya Sulthan road in Malavalli taluk (1.00km).";"2024-02-12 22:37:33"
"BSWML/2023-24/OW/WORK_INDENT29";"PUBLISHED";"15965285";"Village developmental works for creating of infrastructure in and around MSGP processing plant at Doddaballapura Constituency";"Bengaluru Solid Waste Management Limited";"BSWML Managing Director Office Bengaluru";"WORKS";"Village developmental works for creating of infrastructure in and around MSGP processing plant at Doddaballapura Constituency";"2024-02-12 22:31:25"
"BDA/2023-24/RD/WORK_INDENT25";"PUBLISHED";"195000000";"Improvements & Asphalting of internal roads in 2nd and 3rd block Sampigehalli village of Arkavathy Layout Bangalore";"Bengaluru Development Authority";"BDA North Division";"WORKS";"Asphalting of internal roads in layout";"2024-02-12 22:30:28"
"RDPR/2023-24/IND1305";"PUBLISHED";"479931";"SUPPLY OF MATERIALS FOR CONSTRUCTION OF ANGANAVADI B KENDRA IN KANDAGAL GP DAVANAGERE.";"Rural Development and Panchayat Raj Department";"RDPR Gram Panchayat Office Kandagal TP Davanagere";"GOODS";"SUPPLY OF MATERIALS FOR CONSTRUCTION OF ANGANAVADI B KENDRA IN KANDAGAL GP DAVANAGERE.";"2024-02-12 22:17:32"
"BSWML/2023-24/OW/WORK_INDENT28";"PUBLISHED";"55998099";"Providing basic infra structures and developmental works in surrounding villages of Mittaganahalli scientific landfill sites at Mahadevapura Constituency";"Bengaluru Solid Waste Management Limited";"BSWML Managing Director Office Bengaluru";"WORKS";"Providing basic infra structures and developmental works in surrounding villages of Mittaganahalli scientific landfill sites at Mahadevapura Constituency";"2024-02-12 22:16:31"
"BSWML/2023-24/OW/WORK_INDENT27";"PUBLISHED";"64005055";"Providing basic infra structures and developmental works in surrounding villages of Kannur scientific landfill sites at Mahadevapura Constituency";"Bengaluru Solid Waste Management Limited";"BSWML Managing Director Office Bengaluru";"WORKS";"Providing basic infra structures and developmental works in surrounding villages of Kannur scientific landfill sites at Mahadevapura Constituency";"2024-02-12 22:03:20"
"BSWML/2023-24/OW/WORK_INDENT26";"PUBLISHED";"63996035";"Providing basic infra structures and developmental works in surrounding villages of in Ward No.10 (Byatarayanapura) ward No. 11, Kodigehalli Ward No. 13 Vidyaranyapura and surroundings of Byatarayanapura Constituency";"Bengaluru Solid Waste Management Limited";"BSWML Managing Director Office Bengaluru";"WORKS";"Providing basic infra structures and developmental works in surrounding villages of in Ward No.10 (Byatarayanapura) ward No. 11, Kodigehalli Ward No. 13 Vidyaranyapura and surroundings of Byatarayanapura Constituency";"2024-02-12 21:40:10"
"BSWML/2023-24/OW/WORK_INDENT25";"PUBLISHED";"63985516";"Providing basic infra structures and developmental works in surrounding villages of in Ward No.5 Kogilu and surroundings of Byatarayanapura Constituency";"Bengaluru Solid Waste Management Limited";"BSWML Managing Director Office Bengaluru";"WORKS";"Providing basic infra structures and developmental works in surrounding villages of in Ward No.5 Kogilu and surroundings of Byatarayanapura Constituency";"2024-02-12 21:21:17"
"PWD/2023-24/RD/WORK_INDENT8189";"PUBLISHED";"59040060";"IMPROVEMENTS TO ROAD FROM MADAN HIPPARGA TO MAINDARGI VILLAGE IN ALAND TALUK, KALABURGI DISTRICT UNDER KKRDB FOR THE YEAR 2023-24.";"Public Works Department";"PWD Division Office Kalaburagi";"WORKS";"IMPROVEMENTS TO ROAD FROM MADAN HIPPARGA TO MAINDARGI VILLAGE IN ALAND TALUK, KALABURGI DISTRICT UNDER KKRDB FOR THE YEAR 2023-24.";"2024-02-12 20:27:27"
"PWD/2023-24/RD/WORK_INDENT8188";"PUBLISHED";"61004629";"IMPROVEMENTS TO ROAD FROM MADAN HIPPARGA CROSS TO MADAGUNKI , ZALKI (B) , ZALKI (K) VILLAGE IN ALAND TALUK, KALABURGI DISTRICT UNDER KKRDB FOR THE YEAR 2023-24";"Public Works Department";"PWD Division Office Kalaburagi";"WORKS";"IMPROVEMENTS TO ROAD FROM MADAN HIPPARGA CROSS TO MADAGUNKI , ZALKI (B) , ZALKI (K) VILLAGE IN ALAND TALUK, KALABURGI DISTRICT UNDER KKRDB FOR THE YEAR 2023-24";"2024-02-12 20:25:09"
"KFD/2023-24/OW/WORK_INDENT7042";"PUBLISHED";"4825791";"Excavation of Elephant proof trench";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bhadravathi";"WORKS";"Excavation of Elephant proof trench";"2024-02-12 20:17:08"
"BWSSB/2023-24/WS/WORK_INDENT344";"PUBLISHED";"14047477";"Work of sinking of 6.5 inch dia new borewells with necessary accessories at Various locations of Sarvagnanagar constituency";"Bengaluru Water Supply And Sewerage Board";"BWSSB Chief Engineer Design and Quality Assurance Bengaluru";"WORKS";"Work of sinking of 6.5 inch dia new borewells with necessary accessories at Various locations of Sarvagnanagar constituency";"2024-02-12 20:11:40"
"BSWML/2023-24/OW/WORK_INDENT24";"PUBLISHED";"80606688";"Village developmental works for creating of infrastructure in and around Hullahalli & Lakshmipura landfill site at Bangalore South Constituency";"Bengaluru Solid Waste Management Limited";"BSWML Managing Director Office Bengaluru";"WORKS";"Village developmental works for creating of infrastructure in and around Hullahalli & Lakshmipura landfill site at Bangalore South Constituency";"2024-02-12 20:03:46"
"PWD/2023-24/RD/WORK_INDENT8133/CALL-2";"PUBLISHED";"2039585";"Development of Road and Under Ground Drainage at Garib Nawaz colony in Ward No 6 of Ballari City Ballari taluk Ballari District under 2515 KKRDB (Micro Projects) for the year 2023-24 (Work Code BLY232624335) (General Category).";"Public Works Department";"PWD Division Office Ballari";"WORKS";"Development of Road and Under Ground Drainage at Garib Nawaz colony in Ward No 6 of Ballari City Ballari taluk Ballari District under 2515 KKRDB (Micro Projects) for the year 2023-24 (Work Code BLY232624335) (General Category).";"2024-02-12 20:03:40"
"RDPR/2023-24/BD/WORK_INDENT4402";"PUBLISHED";"753214";"Construction of toilet for Boys in GPU College, Beluru road in Chikkamagaluru in Chikkamagaluru Taluk (RESERVED FOR ST)";"Rural Development and Panchayat Raj Department";"RDPR Division Office Chickmagaluru";"WORKS";"Construction of toilet for Boys in GPU College, Beluru road in Chikkamagaluru in Chikkamagaluru Taluk (RESERVED FOR ST)
";"2024-02-12 20:01:59"
"BBMP/2023-24/RD/WORK_INDENT1834";"PUBLISHED";"2541871";"Improvements to drain, providing slabs and Desilting of drains at Ward No.97 (Kadugudi)";"Bruhat Bengaluru Mahanagara Palike";"BBMP Mahadevapura Division";"WORKS";"Improvements to drain, providing slabs and Desilting of drains.";"2024-02-12 19:57:19"
"BBMP/2023-24/RD/WORK_INDENT1838";"PUBLISHED";"2114577";"Footpath Maintance by providing covering slabs and desilting of drains in Byrathi Ward no 99";"Bruhat Bengaluru Mahanagara Palike";"BBMP Mahadevapura Division";"WORKS";"Footpath Maintance by providing covering slabs and desilting of drains.";"2024-02-12 19:56:56"
"BBMP/2023-24/RD/WORK_INDENT1854";"PUBLISHED";"2118392";"Maintenance of roads and Footpath at Ward no.105 of Munnekollala";"Bruhat Bengaluru Mahanagara Palike";"BBMP Mahadevapura Division";"WORKS";"Maintenance of roads and Footpath.";"2024-02-12 19:56:34"
"BBMP/2023-24/RD/WORK_INDENT1833";"PUBLISHED";"2117976";"Engaging tractor and Gangmans for maintenance of Roads, drains and footpath maintenance at Ward No.97 (Kadugudi)";"Bruhat Bengaluru Mahanagara Palike";"BBMP Mahadevapura Division";"WORKS";"Engaging tractor and Gangmans for maintenance of Roads, drains and footpath maintenance.";"2024-02-12 19:55:59"
"BBMP/2023-24/RD/WORK_INDENT1835";"PUBLISHED";"2115377";"Engaging tractor and Gangmans for maintenance of Roads, drains and footpath maintenance at Ward No.98 (Hoody)";"Bruhat Bengaluru Mahanagara Palike";"BBMP Mahadevapura Division";"WORKS";"Engaging tractor and Gangmans for maintenance of Roads, drains and footpath maintenance";"2024-02-12 19:55:42"
"BBMP/2023-24/IND0029";"PUBLISHED";"2843440";"SHORT TERM-TENDER FOR SUPPLY OF ELECTION STATIONARIES MATERIALS TO PARLIMENTARY ELECTIONS 2024, TO ADEO CENTRAL BBMP";"Bruhat Bengaluru Mahanagara Palike";"BBMP Chief Commissioner Office";"GOODS";"SHORT TERM-TENDER FOR SUPPLY OF ELECTION STATIONARIES MATERIALS TO PARLIMENTARY ELECTIONS 2024, TO ADEO CENTRAL BBMP";"2024-02-12 19:55:41"
"BBMP/2023-24/RD/WORK_INDENT1841";"PUBLISHED";"2116026";"Footpath maintenance and Repairs to culverts, Providing covering slab in ward No.100, Garudacharpalya";"Bruhat Bengaluru Mahanagara Palike";"BBMP Mahadevapura Division";"WORKS";"Footpath maintenance and Repairs to culverts, Providing covering slab.";"2024-02-12 19:55:23"
"BBMP/2023-24/RD/WORK_INDENT1844";"PUBLISHED";"2117290";"Improvements to footpath and maintenance in Doddanekundi and surrounding area at Ward No-101, Doddanekundi";"Bruhat Bengaluru Mahanagara Palike";"BBMP Mahadevapura Division";"WORKS";"Improvements to footpath and maintenance.";"2024-02-12 19:55:04"
"BBMP/2023-24/RD/WORK_INDENT1847";"PUBLISHED";"2116338";"Improvement to Footpath and maintenance of footpath and drains in AECS Layout & surrounding area at Ward no 102, AECS Layout.";"Bruhat Bengaluru Mahanagara Palike";"BBMP Mahadevapura Division";"WORKS";"Improvement to Footpath and maintenance of footpath and drains.";"2024-02-12 19:54:46"
"BBMP/2023-24/RD/WORK_INDENT1850";"PUBLISHED";"2117976";"Engaging tractor and Gangmans for maintenance of Roads, drains and footpath maintenance at Ward No.103 (Whitefield)";"Bruhat Bengaluru Mahanagara Palike";"BBMP Mahadevapura Division";"WORKS";"Engaging tractor and Gangmans for maintenance of Roads, drains and footpath maintenance.";"2024-02-12 19:54:28"
"BBMP/2023-24/RD/WORK_INDENT1851";"PUBLISHED";"2539930";"Desilting of drains at Ward No.103 (Whitefield)";"Bruhat Bengaluru Mahanagara Palike";"BBMP Mahadevapura Division";"WORKS";"Desilting of drains.";"2024-02-12 19:54:10"
"BBMP/2023-24/RD/WORK_INDENT1852";"PUBLISHED";"2117976";"Engaging tractor and Gangmans for maintenance of Roads, drains and footpath maintenance at Ward No.104 (Varthur)";"Bruhat Bengaluru Mahanagara Palike";"BBMP Mahadevapura Division";"WORKS";"Engaging tractor and Gangmans for maintenance of Roads, drains and footpath.";"2024-02-12 19:53:44"
"NWKRTC/2023-24/IND0041";"PUBLISHED";"14286969";"Supply of Oil Seals";"North Western Karnataka Road Transport Corporation";"North Western Karnataka Road Transport Corporation Head Office";"GOODS";"Supply of Oil Seals";"2024-02-12 19:53:31"
"BBMP/2023-24/RD/WORK_INDENT1853";"PUBLISHED";"2541449";"Improvements to drain, providing slabs and Desilting of drains at Ward No.104 (Varthur)";"Bruhat Bengaluru Mahanagara Palike";"BBMP Mahadevapura Division";"WORKS";"Improvements to drain, providing slabs and Desilting of drains.";"2024-02-12 19:53:16"
"BBMP/2023-24/RD/WORK_INDENT1857";"PUBLISHED";"2118392";"Maintenance of roads and Footpath at Ward no.106 of Marathahalli";"Bruhat Bengaluru Mahanagara Palike";"BBMP Mahadevapura Division";"WORKS";"Maintenance of roads and Footpath.";"2024-02-12 19:52:55"
"BBMP/2023-24/RD/WORK_INDENT1860";"PUBLISHED";"2117296";"Improvement and maintenance to footpath and desilting in drains in Bellandur ward no 107.";"Bruhat Bengaluru Mahanagara Palike";"BBMP Mahadevapura Division";"WORKS";"Improvement and maintenance to footpath and desilting in drains.";"2024-02-12 19:52:35"
"BBMP/2023-24/BD/WORK_INDENT1984";"PUBLISHED";"4215157";"Construction of Munnekollala ward office in Munnekollala ward no 113";"Bruhat Bengaluru Mahanagara Palike";"BBMP Mahadevapura Division";"WORKS";"Construction of ward office.";"2024-02-12 19:52:16"
"KFD/2023-24/OW/WORK_INDENT5677/CALL-2";"PUBLISHED";"2162075";"Raising of Plantation at Mincheri RF (Along Sy No.65) in 25 Ha. at Ballari Range During-2024-25 (Unit No-01)";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Raising of Plantation at Mincheri RF (Along Sy No.65) in 25 Ha. at Ballari Range During-2024-25 (Unit No-01)";"2024-02-12 19:51:59"
"KFD/2023-24/OW/WORK_INDENT5679/CALL-2";"PUBLISHED";"2162075";"Raising of Plantation at MIncheri RF (Along Karnataka-Andra Pradesh Intestate Boundary Sy No.332 of Sanjeevarayanakote & Sy No.65 of Mincheri) in 25 ha at Ballari Range During-2024-25(Unit No-02)";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Raising of Plantation at MIncheri RF (Along Karnataka-Andra Pradesh Intestate Boundary Sy No.332 of Sanjeevarayanakote & Sy No.65 of Mincheri) in 25 ha at Ballari Range During-2024-25(Unit No-02)";"2024-02-12 19:51:38"
"KFD/2023-24/OW/WORK_INDENT5681/CALL-2";"PUBLISHED";"2162075";"Raising of Plantation at MIncheri RF (Near Allum Prashanth Mines Sy No.332 of Sanjeevarayanakote)) in 25 ha at Ballari Range During-2024-25(Unit No-03)";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Raising of Plantation at MIncheri RF (Near Allum Prashanth Mines Sy No.332 of Sanjeevarayanakote)) in 25 ha at Ballari Range During-2024-25(Unit No-03)";"2024-02-12 19:51:16"
"KFD/2023-24/OW/WORK_INDENT5766/CALL-2";"PUBLISHED";"991400";"Raising of Plantation at Somalapura RF near Ankammanahal Sy.No.1 in 25 ha of Sandur South Range during 2024-25 Unit No.56";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Raising of Plantation at Somalapura RF near Ankammanahal Sy.No.1 in 25 ha of Sandur South Range during 2024-25 Unit No.56";"2024-02-12 19:50:55"
"KFD/2023-24/OW/WORK_INDENT5682/CALL-2";"PUBLISHED";"991400";"Raising of Plantation at Mincheri RF (Near Garbage Disposing center Sy No.65 of Mincheri) in 25 ha at Ballari Range During-2024-25(Unit No-04)";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Raising of Plantation at Mincheri RF (Near Garbage Disposing center Sy No.65 of Mincheri) in 25 ha at Ballari Range During-2024-25(Unit No-04)";"2024-02-12 19:50:31"
"KFD/2023-24/OW/WORK_INDENT5763/CALL-2";"PUBLISHED";"991400";"Raising of Plantation at Somalapura RF near Ankammanahal Sy.No.1 in 25 ha of Sandur South Range during 2024-25 Unit No.55";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Raising of Plantation at Somalapura RF near Ankammanahal Sy.No.1 in 25 ha of Sandur South Range during 2024-25 Unit No.55";"2024-02-12 19:50:12"
"KFD/2023-24/OW/WORK_INDENT5684/CALL-2";"PUBLISHED";"991400";"Raising of Plantation at Mincheri RF (Near Bench Basappa Temple Sy No.406 of Ettinabudihal)) in 25 ha at Ballari Range During-2024-25(Unit No-05)";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Raising of Plantation at Mincheri RF (Near Bench Basappa Temple Sy No.406 of Ettinabudihal)) in 25 ha at Ballari Range During-2024-25(Unit No-05)";"2024-02-12 19:49:52"
"KFD/2023-24/OW/WORK_INDENT5762/CALL-2";"PUBLISHED";"991400";"Raising of Plantation at Somalapura RF near Ankammanahal Sy.No.1 in 25 ha of Sandur South Range during 2024-25 Unit No.54";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Raising of Plantation at Somalapura RF near Ankammanahal Sy.No.1 in 25 ha of Sandur South Range during 2024-25 Unit No.54";"2024-02-12 19:49:33"
"KFD/2023-24/OW/WORK_INDENT5756/CALL-2";"PUBLISHED";"794640";"Raising of Plantation at Ankamanal to Hiraal in 3 km of Sandur South Range during 2024-25 Unit No.52";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Raising of Plantation at Ankamanal to Hiraal in 3 km of Sandur South Range during 2024-25 Unit No.52";"2024-02-12 19:49:09"
"KFD/2023-24/OW/WORK_INDENT5751/CALL-2";"PUBLISHED";"794640";"Raising of Plantation at Tyagadal To Hirall Village in 3 km of Sandur South Range during 2024-25 Unit No.51";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Raising of Plantation at Tyagadal To Hirall Village in 3 km of Sandur South Range during 2024-25 Unit No.51";"2024-02-12 19:48:48"
"KFD/2023-24/OW/WORK_INDENT7040";"PUBLISHED";"1253339";"Excavation of Elephant proof trench";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bhadravathi";"WORKS";"Excavation of Elephant proof trench";"2024-02-12 19:48:30"
"KFD/2023-24/OW/WORK_INDENT5686/CALL-2";"PUBLISHED";"794640";"Raising of Plantation at Halakundi to Sanjeevarayanakote in 03 Km at Ballari Range During-2024-25(Unit No-06)";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Raising of Plantation at Halakundi to Sanjeevarayanakote in 03 Km at Ballari Range During-2024-25(Unit No-06)";"2024-02-12 19:48:28"
"KFD/2023-24/OW/WORK_INDENT5749/CALL-2";"PUBLISHED";"991400";"Raising of Plantation at Sy.No.1 of Jigenahalli Village Near Tyagadal Gate Block No.02, Tumbaraguddi RF in 25 ha - Unit No.50";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Raising of Plantation at Sy.No.1 of Jigenahalli Village Near Tyagadal Gate Block No.02, Tumbaraguddi RF in 25 ha - Unit No.50";"2024-02-12 19:48:09"
"KFD/2023-24/OW/WORK_INDENT5690/CALL-2";"PUBLISHED";"794640";"Raising of Plantation at Sanjeevarayanakote to Bommanahal Road in 03 Km at Ballari Range During-2024-25(Unit No-07)";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Raising of Plantation at Sanjeevarayanakote to Bommanahal Road in 03 Km at Ballari Range During-2024-25(Unit No-07)";"2024-02-12 19:47:43"
"KFD/2023-24/OW/WORK_INDENT5747/CALL-2";"PUBLISHED";"991400";"Raising of Plantation at Sy.No.1 of Jigenahalli Village Near Tyagadal Gate Block No.01, Tumbaraguddi RF in 25 ha - Unit No.49";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Raising of Plantation at Sy.No.1 of Jigenahalli Village Near Tyagadal Gate Block No.01, Tumbaraguddi RF in 25 ha - Unit No.49";"2024-02-12 19:47:10"
"KFD/2023-24/OW/WORK_INDENT5718/CALL-2";"PUBLISHED";"991400";"Raising of Plantation at Sy.No.1 Jigenahalli village Near Old Gadagai Stock Yard Block-2, Tumbaraguddi RF in 25 ha of Sandur South Range during 2024-25 Unit No.48";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Raising of Plantation at Sy.No.1 Jigenahalli village Near Old Gadagai Stock Yard Block-2, Tumbaraguddi RF in 25 ha of Sandur South Range during 2024-25 Unit No.48";"2024-02-12 19:46:42"
"KFD/2023-24/OW/WORK_INDENT5693/CALL-2";"PUBLISHED";"794640";"Raising of Plantation at Hospet road to Belagal road Canal side in 03 Km at Ballari Range During-2024-25(Unit No-08)";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Raising of Plantation at Hospet road to Belagal road Canal side in 03 Km at Ballari Range During-2024-25(Unit No-08)";"2024-02-12 19:46:19"
"KFD/2023-24/OW/WORK_INDENT5696/CALL-2";"PUBLISHED";"794640";"Raising of Plantation at Allipura water pond in 03 Km at Ballari Range During-2024-25 (Unit No-09)";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Raising of Plantation at Allipura water pond in 03 Km at Ballari Range During-2024-25 (Unit No-09)";"2024-02-12 19:45:53"
"KFD/2023-24/OW/WORK_INDENT5698/CALL-2";"PUBLISHED";"794640";"Raising of Plantation at Bandahatti road and Bengaluru road Canal side in 03 Km at Ballari Range During-2024-25 (Unit No-10)";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Raising of Plantation at Bandahatti road and Bengaluru road Canal side in 03 Km at Ballari Range During-2024-25 (Unit No-10)";"2024-02-12 19:45:33"
"KFD/2023-24/OW/WORK_INDENT5716/CALL-2";"PUBLISHED";"991400";"Raising of Plantation at Sy.No.1 Jigenahalli village Near Old Gadagai Stock Yard Block-1, Tumbaraguddi RF in 25 ha of Sandur South Range during 2024-25 Unit No.47";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Raising of Plantation at Sy.No.1 Jigenahalli village Near Old Gadagai Stock Yard Block-1, Tumbaraguddi RF in 25 ha of Sandur South Range during 2024-25 Unit No.47";"2024-02-12 19:45:11"
